"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of September 2015","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
15 Aug 15","Sep
Sep 14","","%change Sep 15 over
Aug 15 Sep 14",""
"1.0","Wheat","10 Kg","342.5","342.5","331.0","350.0","341.25","317.19","312.5","305.0","313.75","350.0","320.0","300.0","281.25","310.0","323.75","350.0","350.0","325.92","323.59","350.63","0.72","-7.05"
"2.0","Wheat Flour, Bag","10 Kg","388.75","386.25","370.0","380.0","375.5","340.0","341.88","366.25","365.0","413.08","405.0","366.88","362.5","375.83","381.25","380.0","380.0","375.19","373.45","404.12","0.47","-7.16"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","83.75","79.54","60.0","60.0","71.79","72.5","50.0","70.0","60.0","73.08","72.82","75.0","80.0","68.33","50.75","80.0","55.0","68.39","68.93","74.28","-0.78","-7.93"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","61.25","60.21","47.5","47.5","60.71","62.5","50.0","37.0","47.5","44.62","44.0","52.5","32.0","42.5","52.5","50.0","41.25","49.03","49.78","54.03","-1.51","-9.25"
"5.0","Bread Plain, Medium Size","Each","40.0","40.0","40.0","40.0","40.0","40.0","40.0","45.0","45.0","45.0","44.0","50.0","40.0","35.0","35.0","40.0","35.0","40.82","40.82","40.75","0.0","0.17"
"6.0","Beef With Bone, (AQ)","1 Kg","328.75","337.5","290.0","290.0","344.29","290.0","275.0","320.0","300.0","346.15","310.0","310.0","300.0","307.5","290.0","400.0","320.0","315.25","311.54","301.26","1.19","4.64"
"7.0","Mutton, Average Quality","1 Kg","705.31","691.67","625.0","637.5","733.93","600.0","575.0","650.0","600.0","665.38","600.0","565.0","600.0","650.0","510.0","600.0","530.0","619.93","615.16","589.43","0.78","5.17"
"8.0","Chicken Farm, Broiler, Live","1 Kg","126.85","113.44","110.25","115.5","106.11","113.56","117.5","127.5","114.5","148.04","143.13","149.5","142.5","126.0","140.0","150.0","206.25","132.39","152.9","138.06","-13.41","-4.11"
"9.0","Milk, Fresh, Unboiled","1 Ltr","95.47","86.67","77.5","70.0","77.21","70.0","65.0","75.0","60.0","84.0","80.0","75.0","80.0","82.5","72.5","90.0","80.0","77.7","77.41","75.61","0.37","2.76"
"10.0","Curd (Dahi)","1 Kg","105.63","97.5","88.5","80.0","83.04","80.0","80.0","90.0","75.0","120.0","106.0","90.0","96.25","87.5","82.5","100.0","90.0","91.29","91.0","89.21","0.32","2.33"
"11.0","Powdered Milk, Nido, Polybag","400 gm","360.0","360.0","360.0","360.0","360.0","350.0","360.0","360.0","360.0","360.0","360.0","360.0","350.0","350.0","350.0","350.0","350.0","356.47","356.47","348.82","0.0","2.19"
"12.0","Eggs Hen, Farm","Dozen","98.75","89.25","93.0","91.25","89.29","95.0","89.75","90.0","90.5","91.25","96.0","100.0","87.5","99.17","99.38","108.75","88.75","93.98","98.37","105.85","-4.46","-11.21"
"13.0","Mustard Oil, Average Quality","1 Kg","240.0","220.0","145.0","150.0","183.93","200.0","171.25","168.33","160.0","161.54","140.0","130.0","200.0","226.67","187.5","190.0","180.0","179.66","179.2","185.25","0.26","-3.02"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","445.0","445.0","467.0","467.0","460.0","465.0","440.0","450.0","445.0","455.0","469.0","493.0","490.0","455.0","475.0","455.0","473.75","461.75","463.97","539.12","-0.48","-14.35"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","440.0","440.0","452.0","452.0","451.25","460.0","445.0","445.0","440.0","453.0","452.0","475.0","480.0","449.79","470.0","445.0","482.5","454.86","456.68","511.47","-0.4","-11.07"
"16.0","Vegetable Ghee (Loose)","1 Kg","146.25","142.08","135.0","135.0","132.93","129.06","129.5","140.0","140.13","141.54","140.0","140.0","135.0","144.75","155.0","150.0","130.0","139.19","139.88","157.8","-0.49","-11.79"
"17.0","Bananas","Dozen","158.75","117.5","55.0","57.5","72.32","50.0","45.0","75.21","55.0","63.08","46.41","52.5","55.0","71.67","71.88","70.0","73.75","70.03","80.45","78.36","-12.95","-10.63"
"18.0","Pulse Masoor, Washed","1 Kg","159.38","144.42","160.0","150.0","161.96","155.0","165.0","137.5","140.0","143.08","132.82","140.0","123.75","128.75","123.75","140.0","130.0","143.26","142.53","128.8","0.51","11.23"
"19.0","Pulse Moong, Washed","1 Kg","183.13","177.5","160.0","175.0","162.14","155.0","155.0","138.33","145.0","173.08","165.94","140.0","165.0","145.42","141.25","156.25","160.0","158.71","161.09","150.17","-1.48","5.69"
"20.0","Pulse Mash, Washed","1 Kg","203.75","202.08","200.0","205.0","202.86","205.0","202.5","186.67","195.0","189.62","185.78","170.0","185.0","194.37","189.38","232.5","150.0","194.09","186.13","157.2","4.28","23.47"
"21.0","Pulse Gram, Washed","1 Kg","121.25","115.42","110.0","112.5","104.11","107.5","105.0","116.25","110.0","120.58","119.38","115.0","115.0","119.17","120.0","125.0","110.0","114.48","112.65","73.68","1.62","55.37"
"22.0","Potatoes","1 Kg","39.69","33.96","40.0","43.75","33.75","40.0","45.0","28.54","20.0","21.54","20.0","18.13","18.13","30.0","21.25","16.0","23.0","28.98","28.19","66.0","2.8","-56.09"
"23.0","Onions","1 Kg","69.69","64.48","61.25","58.75","55.45","51.25","49.38","55.62","54.38","53.08","54.53","45.63","51.25","57.92","47.5","42.5","28.75","53.02","43.12","41.53","22.96","27.67"
"24.0","Tomatoes","1 Kg","68.75","61.56","65.63","62.5","58.93","55.94","46.25","58.13","62.5","58.08","64.07","53.75","61.25","42.5","40.63","45.0","57.5","56.65","61.79","66.04","-8.32","-14.22"
"25.0","Sugar, Refined","1 Kg","70.0","67.5","65.38","65.0","65.89","64.6","63.38","63.13","65.0","63.92","62.19","62.13","63.88","65.17","64.75","63.75","65.0","64.75","65.36","60.49","-0.93","7.04"
"26.0","Gur, Average Quality","1 Kg","115.0","103.75","100.0","100.0","101.07","79.69","82.5","90.0","97.5","103.08","87.5","92.5","85.0","95.0","95.0","85.0","100.0","94.86","93.2","84.3","1.78","12.53"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","10.0","10.0","10.0","10.0","10.0","10.0","12.0","12.0","10.0","9.0","10.0","10.0","9.0","10.0","10.0","10.35","10.35","9.92","0.0","4.33"
"28.0","Red Chilly Powder, Loose","1 Kg","323.75","308.96","280.0","260.0","292.86","255.0","295.0","250.0","210.0","316.15","296.88","265.0","243.75","230.0","280.0","310.0","280.0","276.31","273.54","253.91","1.01","8.82"
"29.0","Garlic","1 Kg","210.63","197.92","173.13","172.5","199.2","154.38","158.75","164.79","190.0","196.15","151.57","170.0","140.0","172.92","163.75","131.25","130.0","169.23","152.8","133.87","10.75","26.41"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.84","176.0","176.84","176.84","176.79","170.98","125.79","3.4","40.54"
"31.0","Cooked Beef, Average Hotel","Plate","92.5","90.83","62.5","62.5","78.04","75.0","100.0","70.0","70.0","71.54","72.5","100.0","70.0","116.67","90.0","80.0","140.0","84.83","84.35","82.14","0.57","3.27"
"32.0","Cooked Daal, Average Hotel","Plate","67.5","60.83","35.0","32.5","51.07","42.5","40.0","40.0","48.75","53.08","46.25","50.0","60.0","60.0","47.5","60.0","60.0","50.29","49.56","47.57","1.47","5.72"
"33.0","Tea Prepared, Average Hotel","Cup","20.0","20.0","17.5","17.5","19.93","20.0","20.0","20.0","15.0","18.62","20.0","20.0","22.5","15.0","15.0","21.0","20.0","18.94","18.94","18.59","0.0","1.88"
"34.0","Cigarettes, K-2, 20's","Packet","55.0","55.0","55.0","55.0","52.0","50.0","60.0","52.0","52.0","55.0","55.0","55.0","55.0","55.0","50.0","60.0","60.0","54.76","54.68","45.19","0.15","21.18"
"35.0","Long Cloth","1 mtr","205.0","195.0","137.5","135.0","247.14","237.5","235.0","250.0","180.0","170.0","210.0","230.0","200.0","300.0","152.5","170.0","190.0","202.63","202.48","199.39","0.07","1.62"
"36.0","Shirting","1 mtr","182.5","175.0","175.0","175.0","118.57","125.0","140.0","210.0","115.0","166.15","140.0","120.0","130.0","283.33","147.5","160.0","190.0","161.94","161.21","156.76","0.45","3.3"
"37.0","Lawn","1 mtr","240.0","220.0","205.0","205.0","261.07","240.0","360.0","150.0","150.0","360.0","240.0","280.0","333.0","360.0","182.5","180.0","165.0","243.03","243.03","239.15","0.0","1.62"
"38.0","Georgette","1 mtr","155.0","152.5","132.5","130.0","110.54","160.0","150.0","105.0","110.0","114.62","110.0","125.0","130.0","110.0","97.5","105.0","95.0","123.1","123.1","123.1","0.0","0.0"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","179.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","499.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","128.7","","128.7","","128.7","124.18","124.18","3.64","3.64"
"44.0","Kerosene Oil","1 Ltr","100.0","98.75","78.0","89.0","69.0","72.75","81.25","78.0","80.0","98.85","90.0","78.5","100.0","81.17","90.0","68.0","70.0","83.72","86.54","117.54","-3.26","-28.77"
"45.0","Firewood Whole","40 Kg","787.5","741.67","700.0","675.0","802.5","600.0","475.0","555.0","620.0","576.06","425.0","400.0","397.5","691.67","490.0","525.0","450.0","583.05","579.68","554.02","0.58","5.24"
"46.0","Energy Saver (14 watts)","Each","167.5","167.5","155.0","155.0","170.0","162.5","175.0","165.0","175.0","170.0","170.0","155.0","175.0","180.0","160.0","180.0","150.0","166.62","166.4","165.29","0.13","0.8"
"47.0","Washing Soap, (Nylon), (SN)","Cake","25.0","25.0","16.0","20.0","40.0","25.0","40.0","22.0","20.0","14.0","25.0","23.56","20.0","20.0","22.5","30.0","30.0","24.59","24.35","24.35","0.99","0.99"
"48.0","Match Box, Regular","Each","2.0","2.0","2.0","2.0","1.0","2.5","2.5","2.0","2.5","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.5","1.94","1.94","1.65","0.0","17.58"
"49.0","Petrol, Super","1 Ltr","74.05","74.04","74.2","75.5","74.11","74.2","74.44","74.1","75.3","74.04","74.65","74.1","75.4","74.03","77.4","74.14","73.76","74.56","77.57","108.1","-3.88","-31.03"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","82.37","82.35","82.6","83.9","82.4","82.37","82.7","82.35","83.7","82.37","83.0","82.4","83.8","82.35","85.3","82.5","82.4","82.87","85.91","109.89","-3.54","-24.59"
"51.0","LPG Cylinder, 11kg","Each","1217.5","1195.0","976.25","1045.0","935.0","993.75","1025.0","1015.0","1045.0","935.0","935.0","1100.0","1009.25","1127.5","1025.0","1150.0","1100.0","1048.78","1009.16","1446.13","3.93","-27.48"
"52.0","Telephone Local Call","P/Call","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","3.94","0.0","0.0"
"53.0","Soap, LifeBuoy","Each","37.0","37.0","37.0","37.0","36.0","37.0","37.0","37.0","37.0","36.0","37.0","37.0","36.0","37.0","36.0","36.0","36.0","36.65","36.54","36.0","0.3","1.81"
